id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
32211,AGRC,small_airport,Ringi Cove Airport,-8.12639045715332,157.14300537109375,,OC,SB,SB-WE,Ringi Cove,no,AGRC,RIN,,,,,Pacific/Guadalcanal
35170,AGRM,small_airport,Ramata Airport,-8.168060302734375,157.64300537109375,,OC,SB,SB-WE,Ramata,yes,AGRM,RBV,,,https://en.wikipedia.org/wiki/Ramata_Airport,,Pacific/Guadalcanal
314491,AGY,small_airport,Argyle Downs Airport,-16.508604,128.922485,407.0,OC,AU,AU-WA,Argyle Downs,no,,AGY,,,https://en.wikipedia.org/wiki/Argyle_Downs_Airport,AGY,Australia/Perth
312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600.0,AS,CN,CN-51,Ngawa (Hongyuan),no,ZUHY,AHJ,,,https://en.wikipedia.org/wiki/Hongyuan_Airport,Aba,Asia/Shanghai
299324,AHY,small_airport,Ambatolhy Airport,-20.0158333333,45.535,340.0,AF,MG,MG-U,Ambatolahy,no,,AHY,,,,,Indian/Antananarivo
46170,AIE,small_airport,Aiome Airport,-5.145699978,144.7307003,350.0,OC,PG,PG-MPM,Aiome,no,AYAO,AIE,AIO,,https://en.wikipedia.org/wiki/Aiome_Airport,,Pacific/Port_Moresby
301654,AIH,small_airport,Aiambak Airport,-7.342777777779999,141.2675,90.0,OC,PG,PG-WPD,Aiambak,no,AYAK,AIH,AMB,,https://en.wikipedia.org/wiki/Aiambak_Airport,,Pacific/Port_Moresby
299328,AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,16.0,OC,MH,MH-ALL,Bigatyelang Island,yes,,AIC,,,https://en.wikipedia.org/wiki/Ailinglaplap_Airok_Airport,,Pacific/Majuro
16108,AK13,small_airport,Chena Hot Springs Airport,65.0518035889,-146.04699707,1195.0,,US,US-AK,Chena Hot Springs,no,AK13,CEX,AK13,,,,America/Anchorage
16120,AK26,small_airport,Solomon State Field,64.5605,-164.4457,25.0,,US,US-AK,Solomon,no,AK26,SOL,AK26,,,,America/Nome
